Room,Level,Building,Colour Code,Room Name,Function,Owner | Booker,Usage Notes / Specialist notes,Capacity,Image,Movable Furniture?,House PC,BYOD Connection(s),BYOD Non-standard connections,Main Display,Secondary Display,Podium monitor,Camera,Microphone,Document Cam (Visulizer),Conference Phone,Last Upgraded,Upgrade Due,Upgrade Priority,Door Signage,Comments,Task Assigned to,Modified,Modified By
110,1,RB,Specialist,TV Studio,Specialist Activities,,TV Studio,3,,,N/A,,,,,,,,,,,,,Correct,,,2023-05-30T13:17:29Z,l.mitchell36@rgu.ac.uk
114,1,RB,Specialist,TV Studio Control Room,Specialist Activities,,TV Studio Control Room,4,,,N/A,,,,,,,,,,,,,Correct,,,2023-05-30T13:17:49Z,l.mitchell36@rgu.ac.uk
116,1,RB,Yellow,Yellow IT Lab,IT Lab (School),CCB,PC Lab,33,,,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Boundary,,,,,,Correct,,,2023-07-17T10:58:14Z,l.mitchell36@rgu.ac.uk
117,1,RB,Purple,Purple Teaching Room,Teaching,,,40,,Y,BYOD,HDMI,,Touchscreen,,,USB - fixed,Soundbar,,,,,,Correct,,,2023-05-30T13:17:50Z,l.mitchell36@rgu.ac.uk
118,1,RB,Yellow,Yellow Teaching Room,Teaching,,,79,,Y,Yes,HDMI & VGA,,Projector,Projector,Standard monitor,IP,Boundary & lapel,SDC-330,,,Summer 2023,Medium,Updating,upgrade to Purple,r.pearce@rgu.ac.uk,2023-07-17T10:58:18Z,l.mitchell36@rgu.ac.uk
119,1,RB,Specialist,Radio Studio,Specialist Activities,,Radio Studio,1,,,N/A,,,,,,,,,,,,,Correct,,,2023-05-30T13:19:41Z,l.mitchell36@rgu.ac.uk
123,1,RB,Yellow,Yellow MAC Lab,IT Lab (School),CCB,Moffat Digital Space,32,,,Mac,HDMI & VGA,,Projector,,Standard monitor,IP,Lapel,SDC-450,,7/17/2023,Summer 2023,Upgraded,Correct,Tech update,r.pearce@rgu.ac.uk,2023-07-17T10:58:19Z,l.mitchell36@rgu.ac.uk
124,1,RB,Yellow,Yellow Teaching Room,Teaching,,,77,,Y,Yes,HDMI & VGA,,Projector,Projector,Standard monitor,IP,Boundary,SDC-330,,,,,Correct,,,2023-07-17T10:58:20Z,l.mitchell36@rgu.ac.uk
204,2,RB,Green,Green IT Lab,IT Lab,,Booking required,35,,,BYOD,HDMI,,Projector,,,USB - fixed,USB Boundary,,,,,,Correct,,,2023-05-30T13:19:41Z,l.mitchell36@rgu.ac.uk
205,2,RB,Green,Green IT Lab,IT Lab,,Booking required,35,,,BYOD,HDMI,,Projector,,,USB - fixed,USB Boundary,,,,,,Correct,,,2023-05-30T13:19:41Z,l.mitchell36@rgu.ac.uk
210,2,RB,Purple,Purple Teaching Room,Teaching,,,24,,Y,BYOD,HDMI & Screen share,,Touchscreen,,,USB - fixed,USB Boundary,,,,,,Correct,,,2023-05-30T13:19:41Z,l.mitchell36@rgu.ac.uk
213,2,RB,Yellow,Yellow Teaching Room,Teaching,,,40,,Y,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Boundary,SDC-450,,,,,Correct,,,2023-07-17T10:58:21Z,l.mitchell36@rgu.ac.uk
214,2,RB,Blue,Blue Teaching Room,Teaching,,,54,,Y,Yes,HDMI & VGA,,Projector,,Touchscreen monitor (podium),IP,Boundary,SDC-330,,7/17/2023,Summer 2023,Upgraded,Ready for new signage,Upgraded to Blue,r.pearce@rgu.ac.uk,2023-07-17T10:56:36Z,l.mitchell36@rgu.ac.uk
215,2,RB,Blue,Blue Teaching Room,Teaching,,,48,,Y,Yes,HDMI & VGA,,Projector,Projector,Touchscreen monitor (podium),IP,Boundary,SDC-330,,7/17/2023,Summer 2023,Upgraded,Ready for new signage,Upgraded to Blue,r.pearce@rgu.ac.uk,2023-07-17T10:56:45Z,l.mitchell36@rgu.ac.uk
216,2,RB,Specialist,Fashion Studio,Specialist Activities,CCB,(Purple),60,,Y,BYOD,HDMI & Screen share,,Touchscreen,,,USB - fixed,USB Boundary,,,,,,Correct,,,2023-06-06T14:54:49Z,l.mitchell36@rgu.ac.uk
217,2,RB,Purple,Purple Teaching Room,Teaching,,,21,,Y,BYOD,HDMI & Screen share,,Touchscreen,,,USB - fixed,USB Boundary,,,,,,Correct,,,2023-05-30T13:19:41Z,l.mitchell36@rgu.ac.uk
218,2,RB,Yellow,Yellow Teaching Room,Teaching,,,20,,Y,Yes,HDMI & VGA,,Screen,,Standard monitor,IP,Boundary,,,,,,Updating,Confirm status,,2023-07-17T10:58:21Z,l.mitchell36@rgu.ac.uk
219,2,RB,Purple,Purple Teaching Room,Teaching,,,18,,Y,BYOD,HDMI & Screen share,,Touchscreen,,,USB - fixed,USB Boundary,,,,,,Correct,,,2023-05-30T13:19:41Z,l.mitchell36@rgu.ac.uk
220,2,RB,Yellow,Yellow Teaching Room,Teaching,,,18,,Y,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Boundary,,,,,,Correct,,,2023-07-17T10:58:23Z,l.mitchell36@rgu.ac.uk
221,2,RB,Yellow,Yellow Lecture Theatre,Teaching ,,,121,,,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Gooseneck & lapel,WolfVision V8-plus3,,,,,Correct,,,2023-07-17T10:58:24Z,l.mitchell36@rgu.ac.uk
222,2,RB,Yellow,Yellow Lecture Theatre,Teaching ,,,289,,,Yes,HDMI & VGA,,Projector,,Standard monitor,IP,Gooseneck & lapel,WolfVision V8-light3,,,,,Correct,,,2023-07-17T10:58:25Z,l.mitchell36@rgu.ac.uk
